序号,数组1,数组2,数组3
271,8.014727943354648,8.734286547308804,7.508629212578452
272,8.013738814321306,8.732857373115815,7.508575519988965
273,8.014505054186571,8.732832475761608,7.509239687907398
274,8.014078675022182,8.731656088746025,7.507274125029068
275,8.015967985649032,8.734740345345221,7.509469608885502
276,8.015636623961896,8.734661183968058,7.509799168800436
277,8.014106650145123,8.734509342833897,7.510741832819756
278,8.015010853916147,8.735641165287543,7.510088603760111
279,8.014881520118266,8.73701122865743,7.51052748746245
280,8.014592544684275,8.738022382151366,7.511150205712796
281,8.014450436884959,8.736909121715989,7.510786190119556
282,8.01418565335258,8.737924164982566,7.512244723961623
283,8.015342726458563,8.738193186831175,7.511887492632129
284,8.01381913845283,8.73719982968292,7.512045644240343
285,8.014927204073677,8.736447764112302,7.511877505507012
286,8.015313400772824,8.733988580331,7.5088053964472286
287,8.013146203157785,8.734535721429735,7.509834142720827
288,8.014374090130621,8.732861779284505,7.509661577658821
289,8.011478646455597,8.731693574169476,7.508139297166345
290,8.01512940164075,8.733164443444101,7.508488323801295
291,8.016225879869932,8.733609053594424,7.508978557981798
292,8.016648315527293,8.735523351898848,7.509473684328581
293,8.016724783149407,8.734109981827062,7.50929092170798
294,8.014546089768716,8.735623432738166,7.509384398417542
295,8.015108650939393,8.737005165035754,7.511115229182779
296,8.014622727784937,8.73590671541146,7.510894025467151
297,8.016308127944354,8.738626749222812,7.512585068892909
298,8.017805167231069,8.738462658751505,7.514419689457137
299,8.019944140639813,8.740545553016554,7.51328720156229
300,8.014727655721352,8.738303662054735,7.515726629624737
301,8.017055489865422,8.734499457274115,7.511377739453518
302,8.019429708238363,8.736050444817188,7.508453171708954
303,8.016334127295119,8.733867659728524,7.50928911000482
304,8.013824862225666,8.733908422807458,7.508895848561193
305,8.015010986362428,8.732179010696752,7.508597119428799
306,8.015573834599751,8.733326553151153,7.507901433069262
307,8.015685867902556,8.73361589882877,7.507628920735503
308,8.014468385906149,8.732302125493781,7.509055700626864
309,8.014921999133346,8.734830707326875,7.50875904042172
310,8.01584248643554,8.7355058727169,7.510473682874206
311,8.013767031266106,8.736581529209257,7.510033614768699
312,8.013554108996424,8.735952231650424,7.509081010614177
313,8.014598438999926,8.737217152398594,7.510693750396936
314,8.013906472988356,8.738434399431974,7.509611194359099
315,8.0146060865879,8.738724260819572,7.511547510075227
316,8.015398769845904,8.73789544658511,7.510397730880297
317,8.015339567057689,8.73697641813201,7.511216743321845
318,8.015885998122151,8.736520415854798,7.51077768004783
319,8.01590997111806,8.73507691719141,7.5088281865478965
320,8.01481399643393,8.734002978224717,7.508932572904565
321,8.01530483890341,8.733381641547892,7.50803667887645
322,8.014530942112058,8.732573039821647,7.508504541439419
323,8.014150887981856,8.732924808952605,7.508819928425501
324,8.013373678828469,8.732786572444478,7.508576532845127
325,8.01367552884594,8.732766285135773,7.509088956707228
326,8.01474114657252,8.733215572516249,7.50808186653602
327,8.01465339005633,8.73409219576972,7.509471667662265
328,8.015411610686357,8.73577738128021,7.509771940335269
329,8.015548294840043,8.736120625269939,7.510289065853108
330,8.015347578641023,8.737850457113328,7.511338963582519
331,8.015631391765677,8.73690681642378,7.510524811542278
332,8.015122499010516,8.737981486350474,7.510455571641281
333,8.015695519264954,8.737832950838808,7.509988625081166
334,8.015144543305198,8.73704131393693,7.509758455742608
335,8.016754737061422,8.736401252227065,7.509248207274859
336,8.01523228782027,8.733782044017321,7.509873452972079
337,8.0158869267553,8.735511415476813,7.509801711527948
338,8.01603377573771,8.732515974464839,7.508700728209438
339,8.01609099777541,8.733174829652263,7.5087962610623205
340,8.014409859560171,8.732825509377669,7.5080594285091315
341,8.014209319353496,8.731663873399526,7.507942186148871
342,8.013987810740172,8.734116760548225,7.50858010947552
343,8.01436641770349,8.732879375749327,7.50893473376817
344,8.013755612660745,8.735156464380806,7.509309153714534
345,8.014734527971695,8.736081372713775,7.509676772559935
346,8.01461834965956,8.73620568399776,7.510876884397949
347,8.010510950478235,8.735722289972221,7.509939506224052
348,8.010606429829295,8.733925741100938,7.509810587760389
349,8.009821962582963,8.736835283122726,7.512071528122485
350,8.014644253163546,8.736021204348916,7.508952407912393
351,8.014161732821943,8.73656853585844,7.510898176526562
352,8.010762806646712,8.736393285740093,7.5121633849233485
353,8.013027436920826,8.734572356895445,7.511674609560332
354,8.014906900774962,8.734935599123036,7.508373255017105
355,8.014509879076778,8.733092183271337,7.507361684100308
356,8.014392308558122,8.732438678844538,7.508516725650436
357,8.014065926344125,8.733514306034293,7.508181572996665
358,8.01578212812887,8.73182575497073,7.508257994663075
359,8.015776623154068,8.733755864171155,7.50748491292294
360,8.015043017340757,8.733529088382818,7.50923940636573
361,8.015261816931613,8.734848405042275,7.509516576838786
362,8.014953979225874,8.7356871814677,7.509584374905361
363,8.015641410930648,8.736434876477748,7.510618417054886
364,8.016836597508192,8.73797055845473,7.510240804915912
365,8.015908396995188,8.737562130062633,7.51103282610626
366,8.015367959223324,8.737003484620962,7.5099123173201265
367,8.014470559777726,8.737088919110427,7.510361300086681
368,8.014486645080503,8.736277577040484,7.511665820555489
369,8.015198800737638,8.73629537476513,7.510602061110834
370,8.015587513052992,8.735076098284694,7.510002410048979
371,8.0151266946653,8.733869127115218,7.508453533367945
372,8.01423517305572,8.733997055470123,7.509641859333765
373,8.014652458476721,8.733331570454748,7.508432441442838
374,8.013853859545835,8.732646999393003,7.50636028504124
375,8.014107066961401,8.734080045568993,7.508166013347353
376,8.016185674854652,8.73401798331545,7.508361699225586
377,8.014678937813299,8.733532849371402,7.508871654864938
378,8.016160177459714,8.734550013714603,7.5084703958569765
379,8.016270577753147,8.735700084890736,7.509504604641107
380,8.01498375290158,8.736637771997472,7.511067541799867
381,8.015997856878384,8.735945631811218,7.510714765730999
382,8.013787805634115,8.737612958660456,7.51105268623888
383,8.014368284860476,8.737767852567456,7.51137593350417
384,8.014547798880834,8.73794533148226,7.511693885585364
385,8.013185423846506,8.737322566470084,7.510742693769143
386,8.014854204071716,8.735694908336134,7.508961685169903
387,8.011522270794256,8.735114438111939,7.5102325804368935
388,8.012597644364506,8.733444461871345,7.510124245419577
389,8.01265111723072,8.73166003056089,7.507953936897062
390,8.014192853352824,8.73241706988465,7.507743523896665
391,8.016233273737882,8.73213060297284,7.508613353022052
392,8.015461324737604,8.735021554754887,7.509125632711359
393,8.017037248844359,8.733743319905155,7.508532000310564
394,8.016274063562863,8.735737575632362,7.5086373085042375
395,8.014299888304572,8.735438616582242,7.5091292349948775
396,8.016690638001444,8.735599336660039,7.511488547255267
397,8.014993445597842,8.737740887278886,7.511558481683484
398,8.016622450328557,8.737055141050075,7.513558401896565
399,8.019160051401126,8.741015210138745,7.513597061760679
400,8.012299640519466,8.738672828803928,7.515138106464648
401,8.016801850934689,8.73388990749493,7.51303918024395
402,8.01864987395262,8.737456536631829,7.5093258745691385
403,8.016080492172733,8.735443391759803,7.50986842304264
404,8.014032489872942,8.735681180886,7.509094461301817
405,8.013718379538247,8.734403084513774,7.508822140866173
406,8.015192820790682,8.733605164949378,7.508161753625741
407,8.013058309054278,8.732676156939142,7.506860690550112
408,8.01389822428651,8.731055483787095,7.508636204127577
409,8.013148907072807,8.732491835652077,7.508571546655885
410,8.013011102820608,8.732719397822239,7.508935559574464
411,8.014899974879441,8.734536189113411,7.510581925296583
412,8.014593524215659,8.735207890812037,7.510300811931084
413,8.014570872592111,8.735852295633238,7.510476131338735
414,8.014315882709296,8.736911986045984,7.51008885463608
415,8.013538663945583,8.737543938482926,7.511552045654606
416,8.015065884812426,8.73836900699746,7.510573508565052
417,8.013744118463489,8.738454579576436,7.51001104238502
418,8.014307748799986,8.737539702630963,7.5114338035997585
419,8.016103326948326,8.737657122653742,7.5108955740781935
420,8.013165854917279,8.735398061395188,7.510995086687927
421,8.015429765267662,8.734504611495945,7.50998167859704
422,8.014101828500765,8.734407481214943,7.508208183174807
423,8.01486568469747,8.734699172489469,7.508874811564307
424,8.014851996080683,8.734076655996693,7.508063989755891
425,8.015034230289404,8.733804219447027,7.507496616896461
426,8.015745215549437,8.7345718259407,7.507924906563534
427,8.014594685767731,8.7349948619782,7.508419755216036
428,8.013981297776661,8.734128778717114,7.509527141771352
429,8.014351064954775,8.734095556735571,7.510686412627598
430,8.013741234162847,8.736223521983053,7.51118015015994
431,8.015781912897838,8.736225365278052,7.511312071146883
432,8.015975487695389,8.737386246982531,7.510648850582985
433,8.016613322040998,8.736830607410226,7.510261692959769
434,8.015802070823781,8.736665304420864,7.509861456183672
435,8.01427274227897,8.737611260481216,7.510111228095491
436,8.01416119487716,8.735314870913435,7.510269300463356
437,8.014194611551988,8.738363252156716,7.510353767207124
438,8.015961732536256,8.736353126416837,7.510812871955149
439,8.014109342647245,8.733985127269309,7.510607098815209
440,8.013757550853132,8.73350727519285,7.508783776642873
441,8.015546260215194,8.732589661496894,7.509155044514426
442,8.013513594588035,8.73416801246418,7.507955610843813
