x,Sync,Async,Rod,Pos
15.526331431211918,(0.0009980070314912193-0.0012607804995563028j),(0.0018840971174568187+9.074011098141987e-06j),(0.001000829557114146-0.0012482030491539583j),(-2.8225256229266973e-06-1.2577450402344498e-05j)
15.527118747764373,(0.0013729671895310748-0.001346466140341882j),(0.0026491597845980743+8.040186797492131e-05j),(0.0013741910861674968-0.001333634110629523j),(-1.2238966364218854e-06-1.2832029712359179e-05j)
15.526407450628794,(0.0010884461534485547-0.0031864423262820316j),(0.0019076876928304032-3.1632666577726655e-05j),(0.001088052119517395-0.003173558086033705j),(3.940339311597117e-07-1.2884240248326959e-05j)
15.523625520061028,(-0.0003990684210011641-0.0027095001041629397j),(-0.0008186467266108483+1.3061161367234717e-05j),(-0.0004010741713494265-0.002696766845544033j),(2.005750348262459e-06-1.2733258618906577e-05j)
15.523807537777161,(-0.00022443081844264993-0.003171295386467918j),(-0.000679304051303783-5.8266965449950116e-05j),(-0.00022801665332684582-0.003158913920573332j),(3.5858348841959267e-06-1.2381465894586032e-05j)
15.520582187225584,(-0.0019790666076384016-0.002754633859807997j),(-0.0038036483492631975-2.8310912356212892e-05j),(-0.001984175976300333-0.0027427994497512187j),(5.109368661931696e-06-1.1834410056778659e-05j)
15.521574552140455,(-0.0013790430832351828-0.002019822763561466j),(-0.0028741696907525417-2.2965260956542594e-05j),(-0.001385595407878863-0.0020087220450586236j),(6.55232464367991e-06-1.110071850284199e-05j)
15.519723784016238,(-0.002422370875779018-0.002240270537235355j),(-0.00464794944067152-3.773621794487967e-05j),(-0.0024302628223306466-0.0022300785752484877j),(7.891946551628273e-06-1.0191961986867699e-05j)
15.519305611292253,(-0.002562501188971703-0.0007656696636963601j),(-0.005094122317090166+6.733968004639768e-06j),(-0.00257160829671974-0.0007565471915543826j),(9.107107748037105e-06-9.122472141977524e-06j)
15.520514176467127,(-0.002036861840451324-0.00036553138506664057j),(-0.003847870334592693+1.1907866437126072e-05j),(-0.002047040484866261-0.0003576222696047329j),(1.017864441493693e-05-7.909115461907659e-06j)
15.521213355152936,(-0.0015885898051455727+0.0002505277057146709j),(-0.0032064173802561742+6.689660118716866e-05j),(-0.0015996794629245586+0.0002570987330209978j),(1.1089657778985751e-05-6.571027306326944e-06j)
15.523454586662607,(-0.0004990918985723328+0.0003110423081261223j),(-0.0009750255075853715+2.5437949476102396e-05j),(-0.0005109176791875523+0.0003161716182509063j),(1.1825780615219523e-05-5.1293101247840095e-06j)
15.523874021482412,(-0.00022652441913718243-0.00034589649872661594j),(-0.0005774827530253324+3.162964354686803e-05j),(-0.00023889982296395473-0.00034228979806814403j),(1.2375403826772363e-05-3.6067006584718835e-06j)
15.523926308346613,(-0.000278021503962132-0.00030140731934274383j),(-0.0004885138899101599-7.785155873933223e-06j),(-0.00029075136348940113-0.0002993801079745067j),(1.2729859527269095e-05-2.027211368237121e-06j)
15.524259585282929,(-6.486056712046669e-05-0.0006757226168389432j),(-0.00016080039583764573+6.293455823178373e-05j),(-7.774412485903803e-05-0.0006753068650952154j),(1.288355773857131e-05-4.157517437278803e-07j)
15.52392859298417,(-0.00022795267978813427-0.00041255236408326907j),(-0.0005351562608816039+2.6283443367072157e-05j),(-0.0002407867543362062-0.0004137546286174071j),(1.283407454807192e-05+1.2022645341379971e-06j)
15.525819986613303,(0.0007449298491518819-0.00043581334610670467j),(0.0013700116812834001+3.5928232447501594e-05j),(0.0007323476588166369-0.000438614666488807j),(1.2582190335244918e-05+2.8013203821024984e-06j)
15.525880876701597,(0.0007625385149208111-0.0015942277361657862j),(0.001402777628018698+2.6709681764645157e-05j),(0.0007504066374562161-0.0015985839338999999j),(1.2131877464594926e-05+4.356197734213564e-06j)
15.52515790741507,(0.00045700621464567757-0.0017890069792362148j),(0.000664817005666356+1.5851110980092498e-05j),(0.00044551597700658165-0.0017948493544820048j),(1.1490237639095956e-05+5.842375245789689e-06j)
15.524518770716412,(9.675627581233678e-05-0.0027572582828547915j),(2.5400407423757354e-05-2.8233869511796212e-05j),(8.608888591024347e-05-0.002764494697864465j),(1.066738990209319e-05+7.236415009673909e-06j)
15.52103134707735,(-0.0016234182045095705-0.0023339161341610734j),(-0.0034445986051283434-1.5516822359912614e-05j),(-0.001633094515563515-0.002342432466347104j),(9.676311053944561e-06+8.51633218603078e-06j)
15.522534608123486,(-0.0008847714199847007-0.0012924787739634139j),(-0.00196931625749125-5.443378296847161e-05j),(-0.0008933040509848279-0.0013021407156798177j),(8.53263100012719e-06+9.661941716403696e-06j)
15.52116136658336,(-0.0015743197755894965-0.0024171802098320655j),(-0.003298667309014643-7.334157696314242e-05j),(-0.0015815741618477876-0.0024278353864862104j),(7.254386258291122e-06+1.0655176654144709e-05j)
15.518843121672216,(-0.002755309495905724-0.0005656820944865346j),(-0.0056360083191941465-9.604918776532057e-05j),(-0.0027611712314173256-0.0005771624675774902j),(5.861735511601511e-06+1.1480373090955859e-05j)
15.521833747208966,(-0.0013161465592112158+0.00012971975453184776j),(-0.0025482691315677226-0.00015974571037729958j),(-0.0013205232009054785+0.00011759523734576765j),(4.376641694262875e-06+1.2124517186080166e-05j)
15.522009668050496,(-0.001339775835947236-0.00027463443355864287j),(-0.002301722861846811-3.800993552635372e-05j),(-0.0013425983615701627-0.00028721188396098736j),(2.8225256229266986e-06+1.2577450402344498e-05j)
15.522886871356143,(-0.0007551535241329797-0.0005042195581784439j),(-0.0015295755010596216-3.193965006314402e-05j),(-0.0007563774207694016-0.000517051587890803j),(1.2238966364218854e-06+1.2832029712359175e-05j)
15.520946582344655,(-0.0018665950077602568-0.00043765288568978336j),(-0.0033695326883097735-0.00011393183435326149j),(-0.001866200973829097-0.0004505371259381102j),(-3.940339311597109e-07+1.2884240248326962e-05j)
15.522884076528197,(-0.00091885677984459+0.0007915543533418535j),(-0.0013700640530618618+4.3454186361911554e-05j),(-0.0009168510294963274+0.000778821094722947j),(-2.005750348262457e-06+1.2733258618906577e-05j)
