t,deg,mixed_signal
0.15,54.0,-3.613801790077386
0.1505,54.18,-3.6304747774383834
0.151,54.36,-3.691809531050048
0.1515,54.54,-3.8143483475185476
0.152,54.72,-3.9247315391021833
0.1525,54.9,-4.000324061586715
0.153,55.08,-4.025013405337351
0.1535,55.26,-4.022591284276549
0.154,55.44,-3.9973897706047756
0.1545,55.62,-3.9720613770270052
0.155,55.8,-3.960890862243787
0.1555,55.98,-3.9573418694808553
0.156,56.16,-3.9553725459224673
0.1565,56.339999999999996,-3.9773645759120613
0.157,56.519999999999996,-3.922210696062469
0.1575,56.699999999999996,-3.8136728728067664
0.158,56.879999999999995,-3.6819837948713885
0.1585,57.059999999999995,-3.4893383283649233
0.159,57.239999999999995,-3.309456688561708
0.1595,57.419999999999995,-3.1195604604506824
0.16,57.599999999999994,-2.9808409187678433
0.1605,57.78,-2.8787493116579
0.161,57.96,-2.843807006514808
0.1615,58.14,-2.799575419063936
0.162,58.32,-2.7778383497722623
0.1625,58.5,-2.7330471999175767
0.163,58.68,-2.652802360208439
0.1635,58.86,-2.5587179548550236
0.164,59.04,-2.4461112024821476
0.1645,59.22,-2.349072449584128
0.165,59.4,-2.2975864813990388
0.1655,59.58,-2.2525177884949543
0.166,59.76,-2.2385527539563634
0.1665,59.94,-2.2056458193093067
0.167,60.12,-2.164762103568214
0.1675,60.3,-2.0862794005700254
0.168,60.48,-1.9489680422416606
0.1685,60.66,-1.7419682547007307
0.169,60.839999999999996,-1.5518152001538328
0.1695,61.019999999999996,-1.3583881442672574
0.17,61.199999999999996,-1.195829352040794
0.1705,61.379999999999995,-1.0615662908619965
0.171,61.559999999999995,-0.9745809570675928
0.1715,61.739999999999995,-0.8862956015302382
0.17200000000000001,61.919999999999995,-0.7968890861036089
0.17250000000000001,62.099999999999994,-0.665959153321732
0.17300000000000001,62.28,-0.513231019561495
0.17350000000000002,62.46,-0.3140982824139145
0.17400000000000002,62.64,-0.10713788856170145
0.17450000000000002,62.82,0.07131562126698847
0.17500000000000002,63.0,0.19617717109521138
0.17550000000000002,63.18,0.3135767176876658
0.176,63.36,0.3677249453724766
0.1765,63.54,0.44889648080542216
0.177,63.72,0.4787541084299574
0.1775,63.9,0.5973068156179757
0.178,64.08,0.7079165427141509
0.1785,64.25999999999999,0.8599567108825771
0.179,64.44,1.008364732211397
0.1795,64.62,1.165498219148488
0.18,64.8,1.2878549932668404
0.1805,64.98,1.3618468188117308
0.181,65.16,1.3758236835296513
0.1815,65.34,1.4135191099244453
0.182,65.52,1.4888834128118107
0.1825,65.7,1.548781425391108
0.183,65.88,1.6932130504065506
0.1835,66.06,1.8542009759522207
0.184,66.24,2.046428877901851
0.1845,66.42,2.260327106841671
0.185,66.6,2.406871428418575
0.1855,66.78,2.527535823465831
0.186,66.96,2.6564921023994117
0.1865,67.14,2.7392815993969255
0.187,67.32,2.8088651961356352
0.1875,67.5,2.9220715469353045
0.188,67.67999999999999,3.0734308001127473
0.1885,67.86,3.208515504541441
0.189,68.03999999999999,3.313521830027025
0.1895,68.22,3.4641884727283596
0.19,68.39999999999999,3.4866448482676757
0.1905,68.58,3.512454830686762
0.191,68.75999999999999,3.45680709518693
0.1915,68.94,3.392972447330987
0.192,69.12,3.340160047387214
0.1925,69.3,3.3246488645222265
0.193,69.48,3.3282401425892227
0.1935,69.66,3.3778398584651015
0.194,69.84,3.4709930580693396
0.1945,70.02,3.5569253231316287
0.195,70.2,3.630982410076434
0.1955,70.38,3.711085484015261
0.196,70.56,3.7490125631973914
0.1965,70.74,3.7769527652536206
0.197,70.92,3.8319961052455764
0.1975,71.1,3.9444460912654242
0.198,71.28,4.013844939686246
0.1985,71.46,4.156996437737886
0.199,71.64,4.273023520990461
0.1995,71.82,4.355737749915958
0.2,72.0,4.394964234246801
0.2005,72.17999999999999,4.371664040605305
0.201,72.36,4.284982893025533
0.2015,72.53999999999999,4.154711771740902
0.202,72.72,4.024391063614012
0.2025,72.89999999999999,3.929223707294482
0.203,73.08,3.8203404591803802
0.20350000000000001,73.25999999999999,3.7615382622912166
0.20400000000000001,73.44,3.7419872572012687
0.20450000000000002,73.61999999999999,3.6817018702667625
0.20500000000000002,73.8,3.6478535558773455
0.20550000000000002,73.98,3.558639111349525
0.20600000000000002,74.16,3.483847122256949
0.20650000000000002,74.34,3.391586751285007
0.20700000000000002,74.52,3.3326466816246216
0.20750000000000002,74.7,3.3024139441426805
0.20800000000000002,74.88,3.3213150502082125
0.2085,75.06,3.3931635408012637
0.209,75.24,3.475638499687786
0.2095,75.42,3.521223321588503
0.21,75.6,3.501616676156831
0.2105,75.78,3.4386308833856187
0.211,75.96,3.3194756765946165
0.2115,76.14,3.2077958566071976
0.212,76.32,3.048611718761384
0.2125,76.5,2.928418014939423
0.213,76.67999999999999,2.8026179424250035
0.2135,76.86,2.7244926245008316
0.214,77.03999999999999,2.63864067201511
0.2145,77.22,2.5492749274602975
0.215,77.39999999999999,2.3883205115715986
0.2155,77.58,2.243249612990017
0.216,77.75999999999999,2.053369858672635
0.2165,77.94,1.8517137664226582
0.217,78.11999999999999,1.6837078413188382
0.2175,78.3,1.5628140298610302
0.218,78.48,1.4601409541471642
0.2185,78.66,1.4289870580116422
0.219,78.84,1.3784047495567233
0.2195,79.02,1.352932591323001
0.22,79.2,1.276823972493204
0.2205,79.38,1.1882230037415944
0.221,79.56,1.0276616244541255
0.2215,79.74,0.8745857960027589
0.222,79.92,0.7105797986892709
0.2225,80.1,0.585773206959379
0.223,80.28,0.4937474207612003
0.2235,80.46,0.4493050809417479
0.224,80.64,0.3760926005299787
0.2245,80.82,0.3052395617955022
0.225,81.0,0.18577220285268112
0.2255,81.17999999999999,0.06129694131498271
0.226,81.36,-0.11047303187725767
0.2265,81.53999999999999,-0.31158069263016946
0.227,81.72,-0.5058688394100144
0.2275,81.89999999999999,-0.6465741867823556
0.228,82.08,-0.7815785363489841
0.2285,82.25999999999999,-0.861852521889487
0.229,82.44,-0.973493601415599
0.2295,82.61999999999999,-1.0690157894835464
0.23,82.8,-1.2107955550281997
0.2305,82.98,-1.3703277351435592
0.231,83.16,-1.5560825615390828
0.2315,83.34,-1.7686425236687529
0.232,83.52,-1.9494364555159975
0.2325,83.7,-2.0776390482001097
0.233,83.88,-2.137480418970407
0.2335,84.06,-2.1980143846594227
0.234,84.24,-2.2269488279829233
0.23450000000000001,84.42,-2.264611103225651
0.23500000000000001,84.6,-2.3025542074960805
0.23550000000000001,84.78,-2.353052194866803
0.23600000000000002,84.96,-2.453266331295535
0.23650000000000002,85.14,-2.561525951468083
0.23700000000000002,85.32,-2.663626150003409
0.23750000000000002,85.5,-2.739521005850146
0.23800000000000002,85.67999999999999,-2.767787185911836
0.23850000000000002,85.86,-2.810507873826653
0.23900000000000002,86.03999999999999,-2.8207751273836568
0.23950000000000002,86.22,-2.888095642845639
0.24,86.39999999999999,-3.0103121251723075
0.2405,86.58,-3.1150148012798606
0.241,86.75999999999999,-3.306731448771973
0.2415,86.94,-3.5007940291116353
0.242,87.11999999999999,-3.6911904173111165
0.2425,87.3,-3.827763877158087
0.243,87.47999999999999,-3.910939438851065
0.2435,87.66,-3.94112443384784
0.244,87.84,-3.965784483590239
0.2445,88.02,-3.952594915846164
0.245,88.2,-3.9630911116132634
0.2455,88.38,-3.9987086321227316
0.246,88.56,-4.025363712203551
0.2465,88.74,-4.024768910473385
0.247,88.92,-4.044985946219562
0.2475,89.1,-3.972682220443316
0.248,89.28,-3.905842634383197
0.2485,89.46,-3.8176982482398034
0.249,89.64,-3.7288680616932663
0.2495,89.82,-3.6291693002232974
0.25,90.0,-3.6050365552907073
0.2505,90.17999999999999,-3.6519065241353075
0.251,90.36,-3.705287627935656
0.2515,90.53999999999999,-3.818382758969288
0.252,90.72,-3.9137811350447405
0.2525,90.89999999999999,-3.9813005082061013
0.253,91.08,-4.058422244392357
0.2535,91.25999999999999,-4.023536898554352
0.254,91.44,-4.029046525510597
0.2545,91.61999999999999,-3.9956588308201604
0.255,91.8,-3.963459843623572
0.2555,91.97999999999999,-3.968378030905227
