x,y
2990,1.0084141251243006e-07
3000,8.036432429499491e-08
3010,7.12541733238016e-08
3020,1.2172292351198485e-07
3030,7.672448821636642e-08
3040,1.1124145476593464e-07
3050,8.196514004326305e-08
3060,8.985396003349993e-08
3070,1.0557705065996461e-07
3080,7.070834150032098e-08
3090,1.2556575936255554e-07
3100,7.506242925789072e-08
3110,8.666097992095857e-08
3120,9.895480730052479e-08
3130,8.272747499397949e-08
3140,1.2176743127855174e-07
3150,7.696583281992791e-08
3160,1.1435163348980217e-07
3170,8.759733063694709e-08
3180,7.545054522492592e-08
3190,1.2354112342229778e-07
3200,7.88671573920098e-08
3210,1.115067826731752e-07
3220,8.098544147506534e-08
3230,9.538464180755081e-08
3240,1.0974123008876933e-07
3250,8.05276272514234e-08
3260,1.3448738184912833e-07
3270,8.11671956145175e-08
3280,9.561088954795787e-08
3290,1.0131625398537322e-07
3300,8.564063252903944e-08
3310,1.2356080997853995e-07
3320,7.887444072507026e-08
3330,1.2111759363921378e-07
3340,9.514977459035476e-08
3350,9.045941757613013e-08
3360,1.3401593130639396e-07
3370,8.785190937001024e-08
3380,1.2653963181326196e-07
3390,8.939760694021315e-08
3400,1.0174713981249409e-07
3410,1.1588134864110816e-07
3420,8.825768420806519e-08
3430,1.418680536839074e-07
3440,9.645243697074766e-08
3450,1.1492775018426618e-07
3460,1.1599263954423031e-07
3470,9.544167090726608e-08
3480,1.3868472660237514e-07
3490,8.88609201725956e-08
3500,1.302912566637409e-07
3510,9.80763237529305e-08
3520,9.672518723732567e-08
3530,1.3675532608204885e-07
3540,9.883695301840252e-08
3550,1.3872705616205838e-07
3560,1.0038150318879703e-07
3570,1.0682793681161945e-07
3580,1.1887538557745723e-07
3590,8.577099811834649e-08
3600,1.406259181437407e-07
3610,8.579007535566135e-08
3620,1.095350838781629e-07
3630,1.1012855450409939e-07
3640,9.325473894300955e-08
3650,1.394694268736e-07
3660,9.265469457089143e-08
3670,1.22853499123582e-07
3680,8.820884370880185e-08
3690,8.33549484847277e-08
3700,1.197655820533575e-07
3710,7.634319053391112e-08
3720,1.2518839187987314e-07
3730,8.450987122391266e-08
3740,1.0024110535316832e-07
3750,1.1471668561449199e-07
3760,8.36246506698543e-08
3770,1.3213536410771436e-07
3780,7.506891507171762e-08
3790,9.527644452943495e-08
3800,9.073583294061926e-08
3810,7.74601055068233e-08
3820,1.2057013473251124e-07
3830,8.036108289102084e-08
3840,1.2286170358350346e-07
3850,8.946130354347161e-08
3860,8.729075190953352e-08
3870,1.211769305270936e-07
3880,7.303730206472817e-08
3890,1.1641599136936004e-07
3900,7.84253458056786e-08
3910,9.077150148451192e-08
3920,9.877867577198333e-08
3930,7.939214165770545e-08
3940,1.3620112110376331e-07
3950,8.04695897964226e-08
3960,1.0553126417847783e-07
3970,9.809673197996958e-08
3980,7.599732941237171e-08
3990,1.1394052700865386e-07
4000,7.804605727687083e-08
4010,1.1626544613446023e-07
4020,8.0837613748719e-08
4030,8.560435638079359e-08
4040,1.2277575105793405e-07
4050,7.971815350394077e-08
4060,1.2289106666421874e-07
4070,8.156698139851638e-08
4080,9.121881386887843e-08
4090,9.411227690177838e-08
4100,7.644904956319091e-08
4110,1.3002330077316387e-07
4120,7.170800225780801e-08
4130,1.0367221245257904e-07
4140,9.93396073488314e-08
4150,8.186400580587718e-08
4160,1.1503877031546804e-07
4170,7.869446721836917e-08
4180,1.1617788479038715e-07
4190,7.335359595447044e-08
4200,8.092933095937076e-08
4210,1.157479832998336e-07
4220,7.355167575079765e-08
4230,1.2335694193992634e-07
4240,8.571088430756171e-08
4250,9.996981710415932e-08
4260,9.605467443327087e-08
4270,8.295478355735788e-08
4280,1.3070625080207367e-07
4290,7.713190496566486e-08
4300,1.0817038138392122e-07
4310,9.64691153885813e-08
4320,8.115018308455456e-08
4330,1.221588481725662e-07
4340,9.129560303976813e-08
4350,1.311599664730673e-07
4360,8.957785582811985e-08
4370,1.0148307167955716e-07
4380,1.2270057928829925e-07
4390,8.709637147335656e-08
4400,1.3753619320519882e-07
4410,9.48235138877085e-08
4420,1.0884425875430474e-07
4430,1.1003025350986212e-07
4440,9.869485532700428e-08
4450,1.453487629954459e-07
4460,9.738969079976353e-08
4470,1.3147805695989815e-07
4480,1.0941500078004262e-07
4490,1.0251437547793604e-07
4500,1.4294843045874065e-07
4510,1.0443730733673099e-07
4520,1.4806955415754373e-07
4530,1.0667791816621783e-07
4540,1.1999744395379973e-07
4550,1.398555428041588e-07
4560,1.0850881228266456e-07
4570,1.5389492673254918e-07
4580,1.1575771812797115e-07
4590,1.2899045897255416e-07
4600,1.194343186781183e-07
4610,1.0484892195512408e-07
4620,1.5929482561183342e-07
4630,1.0090987322803581e-07
4640,1.383675533836726e-07
4650,1.1666677041249388e-07
4660,1.0440791289337734e-07
4670,1.2890547426135654e-07
4680,1.0880358570312038e-07
4690,1.4609417438104082e-07
4700,9.697549433124588e-08
4710,1.0864575976723672e-07
4720,1.2629035541070882e-07
4730,8.657132195138508e-08
4740,1.446865384278755e-07
4750,1.0157015405749566e-07
4760,1.2031489638801375e-07
4770,8.875787423369004e-08
4780,9.279020780113296e-08
4790,1.3757777578570484e-07
4800,8.749563427812173e-08
4810,1.184815508618339e-07
4820,1.0484202961110701e-07
4830,9.350328587499528e-08
4840,1.1855707147264924e-07
4850,1.0310222143749834e-07
