t,sync_wavelet_extra,async_wavelet_extra
2.307,8.924344503413938e-05,-5.3080668370962756e-05
2.3075,0.00023755599487157274,0.0001659833105536664
2.308,0.0002967705418077487,0.00025636097705263424
2.3085,0.00025867472010291954,0.00020544010073647367
2.309,0.0001444462075634403,3.951827578428616e-05
2.3095,-1.5655719492912011e-06,-0.00018368872668141726
2.31,-0.00013046616027167753,-0.00039860325216543033
2.3105,-0.00020886201012914083,-0.0005572967807143682
2.311,-0.0002282448188123312,-0.0006416166288707511
2.3115,-0.00019991535847566967,-0.0006576152107655006
2.312,-0.00014177500887161556,-0.0006207140074925258
2.3125,-6.709385682944376e-05,-0.0005438252707109046
2.313,1.870113500107074e-05,-0.0004345980307585261
2.3135,0.00011397445230813946,-0.00029970236989325144
2.314,0.00021421640868718087,-0.00015065516822568352
2.3145,0.0003071519266342674,-7.3407109457920115e-06
2.315,0.00037201766697684174,0.00010215345344630582
2.3155,0.0003836852618710235,0.00014586506291872233
2.316,0.0003205806169331597,9.605321606769219e-05
2.3165,0.00017312620483944945,-6.171020080749513e-05
2.317,-5.175306704164397e-05,-0.00032310188046182536
2.3175,-0.0003325814903006896,-0.0006661231870464018
2.318,-0.0006398897581934179,-0.001056751313797674
2.3185,-0.0009425455804154177,-0.0014542598313921876
2.319,-0.0012104579992389232,-0.0018136618890794332
2.3195,-0.001414511676231962,-0.0020876992121071354
2.32,-0.001527012684846852,-0.0022322037994003366
2.3205,-0.0015244313350563803,-0.0022146990535667874
2.321,-0.0013917220027154327,-0.0020220831950530844
2.3215,-0.0011275464823946478,-0.0016646767660827907
2.322,-0.0007511712386965879,-0.0011786941666170427
2.3225,-0.000310101042826535,-0.0006295459541322286
2.323,0.00011816762786801899,-0.00011142186715843934
2.3235,0.00043992855623377954,0.0002675213385832999
2.324,0.0005769713239563369,0.0004190998091909571
2.3245,0.0005031091933256879,0.00031536994813183484
2.325,0.00026214910003107667,9.04638679141302e-06
2.3255,-4.870775354143062e-05,-0.00038517646466897706
2.326,-0.00032361553706914737,-0.0007420371076970146
2.3265,-0.0004945292630178597,-0.0009795833906786182
2.327,-0.0005521191036879833,-0.0010836571802337652
2.3275,-0.0005329502665754791,-0.0010931415295390562
2.328,-0.00048741193662737303,-0.0010627614241736263
2.3285,-0.00045164023273782804,-0.0010305969351158276
2.329,-0.0004376371511959949,-0.0010070140476568477
2.3295,-0.00043968479901486217,-0.0009830752421143127
2.33,-0.00044561962821312986,-0.0009452998305415479
2.3305,-0.00044355624171352886,-0.0008853422001209646
2.331,-0.00042291931044783455,-0.0008018140329662626
2.3315,-0.00037457150912587707,-0.0006981919581580888
2.332,-0.0002942109958528966,-0.0005815237912539988
2.3325,-0.00018821276359841198,-0.0004633446766781781
2.333,-7.691317394901918e-05,-0.0003608001533380787
2.3335,9.22177189025192e-06,-0.00029515328778162675
2.334,4.025082072323987e-05,-0.00028691431599436683
2.3345,-1.4245114470392085e-06,-0.0003498134720395169
2.335,-0.00011504436326729116,-0.00048693591994497173
2.3355,-0.000284152593568799,-0.0006903747439779484
2.336,-0.0004846763745002712,-0.0009426832609626894
2.3365,-0.0006922129084742745,-0.0012176493023548529
