x,Sync,Async,Rod,Pos
0.0023049919000003,(0.0011842915823944635+0.00036587330073113765j),(0.002273195949999989+2.208923405312119e-05j),(0.0011832659105392106+0.00035996124853421903j),(1.0256718552528157e-06+5.912052196918609e-06j)
0.0027919919000004003,(0.0014384969189338355-0.0018897852923736508j),(0.0027497345500000956-1.1284013176365307e-05j),(0.0014382203114263554-0.0018957792770433472j),(2.766075074800558e-07+5.993984669696242e-06j)
-0.0006135080999994001,(-0.0002806284202298578-0.0012584233675883517j),(-0.0006396340499997216-2.300556041667691e-05j),(-0.0002801516011239348-0.0012644047560119516j),(-4.768191059229804e-07+5.981388423599885e-06j)
0.0014939919000003,(0.0007728844214939899-0.0007075255192282356j),(0.0014683470499999858-3.116604993054999e-05j),(0.0007741071474911776-0.0007133999813371906j),(-1.2227259971876838e-06+5.874462108955107e-06j)
0.0013314919000002,(0.0006683515772740169-0.0014736936234348446j),(0.0013288859499998964-5.307228122894584e-05j),(0.0006703009270430725-0.0014793685154524633j),(-1.949349769055632e-06+5.674892017618543e-06j)
0.0013319919000004,(0.0006326881739256575-0.0016649829681387705j),(0.0013655433000000863-3.0761164257940676e-05j),(0.000635333405056238-0.0016703687936279186j),(-2.645231130580465e-06+5.385825489147963e-06j)
-0.00012750809999939995,(-8.586592509308608e-05-0.0024487716544822485j),(-0.00010539654999972986-1.55205483943274e-06j),(-8.256652947609458e-05-0.0024537834757576257j),(-3.2993956169915616e-06+5.011821275377322e-06j)
-0.0019115080999992,(-0.0009667630737710838-0.0015195234431165216j),(-0.0019002554499995318+2.7450603751866947e-07j),(-0.0009628615471075245-0.0015240822207626989j),(-3.901526663559295e-06+4.558777646177073e-06j)
-0.0006145080999995002,(-0.00030504467733188484-0.0012099415798017266j),(-0.0006167177999998304+3.261150113927219e-07j),(-0.0003006025490279011-0.0012139754191719417j),(-4.442128303983642e-06+4.033839370214847e-06j)
-0.0014255080999996,(-0.0007111955715968422-0.001372598431638841j),(-0.0014268229499999183-2.000517034647011e-05j),(-0.0007062828966693868-0.0013760437166765265j),(-4.912674927455342e-06+3.445285037685497e-06j)
-0.001101008099999085,(-0.0005665334294418483-0.0008908857671568981j),(-0.0010849790499994085-1.713375036960131e-05j),(-0.0005612276837092169-0.0008936881636588965j),(-5.30574573263132e-06+2.802396501998323e-06j)
-0.0014255080999992,(-0.0007298305695507724-0.0010817379614487367j),(-0.0014081879499995178-1.439563382706089e-05j),(-0.0007242154277926677-0.001083853273948141j),(-5.615141758104833e-06+2.1153124994041135e-06j)
-0.0009385080999994,(-0.0005011096814235947-0.00032213073765942823j),(-0.0009066527999997101-8.150433522340529e-06j),(-0.0004952736977798648-0.00032352560641449627j),(-5.8359836437299355e-06+1.3948687550678626e-06j)
0.00019699190000069998,(7.247193236645888e-05-0.0013421907234398903j),(0.00022325955000038143+9.564058451061157e-06j),(7.843672094750468e-05-0.0013428431505371002j),(-5.9647885810457745e-06+6.524270972099868e-07j)
-0.0028845080999992,(-0.0014724896832764695-0.0010648459932222811j),(-0.0028542727999995203+7.248850523761469e-06j),(-0.001466490158037223-0.0010647456894965694j),(-5.999525239246535e-06-1.0030372571194838e-07j)
-0.0011005080999995,(-0.0005819393158449499+0.0002313776417503907j),(-0.001068579199999824+5.1449668466238995e-05j),(-0.0005759996700444683+0.0002322290944493516j),(-5.939645800481722e-06-8.514526989608633e-07j)
3.4491900000599646e-05,(6.769781499906937e-05-0.00046734807954665813j),(-1.5960299999748174e-05+5.118804786811355e-05j),(7.348390959834035e-05-0.00046575890579214407j),(-5.786094599270897e-06-1.5891737545139777e-06j)
0.00019649190000059968,(0.00013629443581522624-0.00033768111510649513j),(0.00015868705000024266-4.555973380835234e-05j),(0.00014183572904501036-0.00033537928251586315j),(-5.541293229784197e-06-2.301832590632021e-06j)
0.00019649190000019988,(5.910531340306884e-05-0.001191967052787652j),(0.00023563219999986034-1.082530383170504e-05j),(6.431441575892452e-05-0.0011889888626359045j),(-5.209102355855677e-06-2.9781901517476583e-06j)
-0.0019115080999999002,(-0.0009424368126535558-0.0008475196788804367j),(-0.0019245817000002308+1.910088334289443e-05j),(-0.0009376420518275476-0.0008439120990053508j),(-4.794760826008398e-06-3.6075798750856748e-06j)
-0.0007760080999999002,(-0.00039715843806418063-0.0001530540068263375j),(-0.0007668540500002344-3.2277255474564304e-05j),(-0.00039285363501049696-0.00014887393091760767j),(-4.304803053683683e-06-4.180075908729833e-06j)
