t,x,Sync,Async,Rod,Pos
1.998,3.399190000009995e-05,-0.0001889875282076133,-0.00022012808560254165,-0.0001565086728387386,-3.247885536887467e-05
1.9985,-0.0004525080999999,-0.000305133564321138,-0.00024559253169307226,-0.00030016232272536415,-4.97124159577384e-06
1.999,-0.0022365080999992,-0.0009367875215511412,-0.00133479347578059,-0.0009598105134925395,2.3022991941398203e-05
1.9995,-0.0019120080999991,-0.0011654473701696077,-0.0017154514599174693,-0.0012142109447863367,4.876357461672899e-05
2.0,3.4491900000100154e-05,0.0005654691587337044,-0.0008380845624539201,0.0004957383198809326,6.97308388527719e-05
2.0005,-0.0025600080999995,-0.001336281254669722,-0.0019139118018702544,-0.0014201536174083054,8.387236273858297e-05
2.001,-0.0015875080999992,-0.0008157124103446467,-0.0013755675448915317,-0.0009055162857310752,8.980387538642845e-05
2.0015,-0.0017500080999991,-0.0006421367369708988,-0.0012911562162153186,-0.0007290814959819571,8.694475901105847e-05
2.0020000000000002,-0.0030475080999998,-0.0018176873687515466,-0.001834923752125414,-0.0018932622525954757,7.557488384392942e-05
2.0025,-0.0002905080999999,0.00020547994014752217,-0.0005842102692986638,0.0001486727276625437,5.6807212484978336e-05
2.003,-0.0004525080999998,-0.00032477913262223066,-0.0008714070635209138,-0.00035725798799110525,3.247885536887467e-05
2.0035,-0.0006145080999999,-0.00029801390990961453,-0.000988645252010008,-0.00030298515150538834,4.971241595773845e-06
2.004,0.0016564919000004,0.0010102996827164533,0.000663367029721536,0.0010333226746578514,-2.302299194139821e-05
2.0045,0.0013319919000002,0.0003154771133274075,0.0010566003972408413,0.0003642406879441365,-4.8763574616729e-05
2.005,0.0013314919000001,0.0008706120249912123,0.001145177066240127,0.0009403428638439841,-6.97308388527719e-05
2.0055,-0.0002905080999995,-0.00037349792397796747,0.00017593113063560272,-0.0002896255612393845,-8.387236273858299e-05
2.0060000000000002,0.0001959919000006,2.0773253732922825e-05,0.0003229460010754638,0.00011057712911935137,-8.980387538642845e-05
2.0065,0.0013314919000001,0.0007989966913291914,0.0009674512392034613,0.00088594145034025,-8.694475901105847e-05
2.007,-0.0012630080999995,-0.0010498461182023794,-0.0006601699523848945,-0.0009742712343584499,-7.557488384392943e-05
2.0075,-0.0022360080999996,-0.0009205673379887589,-0.001667836540058658,-0.0008637601255037806,-5.6807212484978336e-05
2.008,-0.0027225081000001,-0.0015672369030435558,-0.0018837043078903173,-0.001534758047674681,-3.247885536887466e-05
2.0085,-0.0007765080999998,-0.0004671341889759665,-0.0009794044054287894,-0.00046216294738019264,-4.971241595773829e-06
2.009,-0.0028850080999993,-0.0012610368974058372,-0.0023827145518962012,-0.0012840598893472353,2.302299194139821e-05
2.0095,-0.0041825080999994,-0.0023006979938053384,-0.0029408371376917816,-0.0023494615684220674,4.876357461672899e-05
2.0100000000000002,0.0010074919000003,0.0010519697818593683,0.00011426769801030732,0.0009822389430065963,6.97308388527719e-05
2.0105,0.0010074919000003,0.0004474681227148789,0.00025882563494062884,0.00036359575997629596,8.387236273858297e-05
2.011,0.0001959919000001,7.603821175979176e-05,-0.0004658906918193221,-1.3765663626636704e-05,8.980387538642843e-05
2.0115,0.0005209919000002,0.0004933626414347174,-0.00045210628426614136,0.00040641788242365884,8.694475901105847e-05
2.012,0.0003589919000002,-0.00011443674766851366,-0.0005614234017737606,-0.00019001163151244314,7.557488384392942e-05
2.0125,0.0006829919000002,0.0006922293195757862,-0.0004315486040840929,0.0006354221070908082,5.680721248497831e-05
2.013,-0.0001275080999999,-0.00016227851256198528,-0.00040960508079058544,-0.00019475736793085998,3.247885536887467e-05
2.0135,3.449190000020012e-05,2.6485470541876843e-05,8.991759219391114e-05,2.1514228946102956e-05,4.97124159577384e-06
2.0140000000000002,0.0016559919000002,0.0010100503017529314,0.0009700667409662519,0.0010330732936943295,-2.302299194139821e-05
2.0145,0.0024669919000003,0.000882976494803104,0.0012386341138898357,0.0009317400694198329,-4.8763574616728996e-05
2.015,-0.0001275080999993,0.00014111264300339634,-0.0003963411429818739,0.00021084348185616833,-6.97308388527719e-05
2.0155,-0.0011005080999994,-0.0007784985414770886,-0.0009190600985866236,-0.0006946261787385058,-8.387236273858297e-05
2.016,0.0010079919000002,0.0004267738707189371,0.00015008123140118935,0.0005165777461053656,-8.980387538642845e-05
2.0165,3.4991900000669386e-05,0.00015074607485646166,-0.0007792437152066822,0.0002376908338675201,-8.694475901105847e-05
2.017,-0.0022360080999996,-0.001536345502242859,-0.0022001261592658685,-0.0014607706183989296,-7.557488384392943e-05
2.0175,-0.0022360080999995,-0.0009205679534345912,-0.002030873726822013,-0.000863760740949613,-5.6807212484978336e-05
2.0180000000000002,-0.0022360080999996,-0.0013239862881113537,-0.0019528651757324,-0.001291507432742479,-3.247885536887467e-05
2.0185,-0.0014250080999995,-0.0007913848033935966,-0.0016712829530010017,-0.0007864135617978227,-4.971241595773845e-06
2.019,0.0016564919000009,0.0010097137164976268,0.0003756169928231618,0.000986690724556229,2.3022991941398196e-05
2.0195,0.0055489919000003,0.0025650513928058044,0.003116515420961716,0.0025162878181890754,4.876357461672898e-05
2.02,0.0044139919000003,0.0027552203947331755,0.002326741215496822,0.002685489555880404,6.97308388527719e-05
2.0205,0.0013319919000007,0.0006097175103564135,0.00034298596617188975,0.0005258451476178302,8.387236273858297e-05
2.021,0.0019804919000007,0.0009682888236033735,0.0009033647174260866,0.0008784849482169451,8.980387538642845e-05
2.0215,0.0003589919000005,0.0004123620301072109,0.00036294928042745404,0.0003254172710961523,8.69447590110585e-05
2.0220000000000002,-0.0006145080999994,-0.0006011861368565237,-7.110551095963214e-06,-0.0006767610207004533,7.557488384392943e-05
2.0225,-0.0002905080999995,0.00020547870928025366,0.00013324900430725017,0.00014867149679527534,5.6807212484978336e-05
2.023,-0.0022365080999992,-0.001216777902782301,-0.001000033017870765,-0.0012492567581511758,3.247885536887467e-05
2.0235,0.0001964919000005,0.00010748486127928146,5.533564867731391e-05,0.00010251361968350756,4.971241595773845e-06
2.024,0.0011699919000002,0.000767050910498847,0.0004602742070933074,0.0007900739024402453,-2.302299194139821e-05
2.0245,-0.0007765080999999,-0.0007387741134258409,-0.0004393513854385607,-0.0006900105388091119,-4.8763574616729e-05
2.025,-0.0006145080999999,-0.00010238674928536875,-0.00045871648009695814,-3.265591043259686e-05,-6.97308388527719e-05
2.0255,-0.0015875081,-0.001021999148671374,-0.0011582589363408747,-0.000938126785932791,-8.387236273858299e-05
2.0260000000000002,-0.0006145080999998,-0.0003844755226048679,-0.0008340899190913537,-0.00029467164721843947,-8.980387538642845e-05
2.0265,-0.0007765080999994,-0.0002550045313017387,-0.0011811895344031149,-0.00016805977229068027,-8.694475901105847e-05
2.027,-0.0025605080999992,-0.0016985948966027622,-0.002003245133947085,-0.0016230200127588326,-7.557488384392942e-05
2.0275,-0.0012630080999995,-0.00043406855855598095,-0.0009332340737106517,-0.00037726134607100263,-5.6807212484978336e-05
2.028,-0.0015875081,-0.0009997356835089108,-0.0007450186150702088,-0.0009672568281400359,-3.247885536887467e-05
2.0285,-0.0004525080999999,-0.000305135407477454,-3.835894140198697e-05,-0.00030016416588168025,-4.971241595773823e-06
2.029,0.0001959919,0.0002794643200616112,0.00013067771796110162,0.000256441328120213,2.3022991941398203e-05
2.0295,-0.0004525080999998,-0.0004356992102392174,-0.0002826845992087232,-0.00048446278485594647,4.8763574616729e-05
2.0300000000000002,0.0014944919000003,0.0012954709972584464,0.0007125833780534397,0.0012257401584056745,6.97308388527719e-05
2.0305,0.0001969919000003,4.221690835087964e-05,6.758588638371518e-05,-4.165545438770333e-05,8.387236273858299e-05
2.031,0.0001964919000002,7.628942508828188e-05,0.00013701651805965445,-1.351445029814662e-05,8.980387538642845e-05
2.0315,0.0006829919000001,0.000574361429142267,0.00023220653260856602,0.0004874166701312085,8.694475901105847e-05
2.032,-0.0009385080999999,-0.0007631855364126789,-0.0006767497948635419,-0.0008387604202566083,7.557488384392942e-05
2.0325,-0.0012625080999994,-0.0002805218906429032,-0.0007727749208308326,-0.00033732910312788154,5.6807212484978336e-05
2.033,-0.0023980080999992,-0.0012975273033802189,-0.001508909558933802,-0.0013300061587490936,3.247885536887467e-05
2.0335,-0.0022360080999996,-0.0011087657376014893,-0.0015477003542933288,-0.001113736979197263,4.971241595773845e-06
2.0340000000000003,-0.0017495080999996,-0.0006926984911419288,-0.0013480516134410144,-0.0006696754992005307,-2.3022991941398206e-05
2.0345,-0.0025605080999992,-0.0016307747112627817,-0.001920685635403598,-0.0015820111366460527,-4.876357461672899e-05
2.035,-0.0011010080999995,-0.00034563615196994723,-0.0013516376954069848,-0.00027590531311717526,-6.973083885277188e-05
2.0355,-0.0011010080999995,-0.0007787497454640385,-0.0013907004533806142,-0.0006948773827254556,-8.387236273858297e-05
2.036,-0.0017495080999994,-0.0009519749263342931,-0.0015089142418378112,-0.0008621710509478646,-8.980387538642843e-05
2.0365,-0.0014250080999998,-0.0005792551270495373,-0.0009992465598552844,-0.0004923103680384789,-8.694475901105847e-05
2.037,-0.0014250080999999,-0.0011308443013785259,-0.0005139768324548616,-0.0010552694175345967,-7.557488384392943e-05
2.0375,-0.0002900080999999,5.2430846742478736e-05,0.00022488845992842005,0.00010923805922745702,-5.6807212484978336e-05
2.0380000000000003,-0.0014255080999999,-0.0009187350893310015,-0.0008773562209431088,-0.0008862562339621269,-3.247885536887467e-05
