sync_wavelet2_x,sync_wavelet2_allan_var,async_wavelet2_x,async_wavelet2_allan_var
1310,1.0920829201361325e-08,1310,1.5252085827346635e-08
1320,2.145492389572529e-08,1320,4.034790816996107e-08
1330,1.2820060070357693e-08,1330,1.7805661321742582e-08
1340,1.6349414513047822e-08,1340,2.4617007410604343e-08
1350,1.736283978971388e-08,1350,3.1463383404605664e-08
1360,1.2122989423807714e-08,1360,1.6310344725410023e-08
1370,2.4399941998102002e-08,1370,4.6723678109269763e-08
1380,1.0056458931408964e-08,1380,1.425498910189242e-08
1390,1.7107414029484124e-08,1390,2.8097837087996763e-08
1400,1.4711043769142685e-08,1400,2.6235479800322495e-08
1410,1.1719693445889727e-08,1410,1.585693368640534e-08
1420,2.1109452297810454e-08,1420,4.202581767037253e-08
1430,1.2386481685949256e-08,1430,1.629833263854553e-08
1440,2.2995875081731628e-08,1440,3.9517395992352824e-08
1450,1.3414446380384145e-08,1450,1.9493362102217753e-08
1460,1.3754707096312956e-08,1460,1.9313050520828706e-08
1470,2.151738398170742e-08,1470,4.0869895681240956e-08
1480,1.0637960678979997e-08,1480,1.462589327594538e-08
1490,2.1838986235751937e-08,1490,4.0898398147613915e-08
1500,1.2790980403867073e-08,1500,1.8985215584396882e-08
1510,1.597124014961498e-08,1510,2.3911015064390984e-08
1520,1.56873511188543e-08,1520,3.008667534424001e-08
1530,1.2335840127051366e-08,1530,1.66554609970414e-08
1540,2.5898808339270233e-08,1540,4.9190196566794686e-08
1550,1.2362026693207779e-08,1550,1.6351340172848013e-08
1560,1.8843686242671835e-08,1560,3.1437392178551724e-08
1570,1.623554476645707e-08,1570,2.788862138831476e-08
1580,1.187982880960234e-08,1580,1.68973466071201e-08
1590,2.067292142209151e-08,1590,4.167736833790419e-08
1600,1.2323475645763996e-08,1600,1.807181626386764e-08
1610,2.231985880219875e-08,1610,4.01702128640558e-08
1620,1.1479262746484363e-08,1620,1.907336413685513e-08
1630,1.4625075369943553e-08,1630,2.1880851883385402e-08
1640,2.2681916403161998e-08,1640,4.448007972838915e-08
1650,1.297323305684855e-08,1650,1.88469374708439e-08
1660,2.4340042935677898e-08,1660,4.7193200256719456e-08
