sync_wavelet2_x,sync_wavelet2_allan_var,async_wavelet2_x,async_wavelet2_allan_var
4810,2.1147028984207498e-08,4810,2.7416117271476862e-08
4820,1.8196608959343552e-08,4820,3.984463678677346e-08
4830,1.551702686889897e-08,4830,2.4954040311974585e-08
4840,2.3597196929745624e-08,4840,5.250194880648506e-08
4850,1.7437916077803272e-08,4850,2.6757752606176198e-08
4860,2.4454610738418413e-08,4860,4.2565332940879954e-08
4870,1.1509853264785712e-08,4870,2.283838611925714e-08
4880,1.739634690198106e-08,4880,2.330389886639181e-08
4890,1.9845980779090586e-08,4890,5.422727968305606e-08
4900,1.3511360985998092e-08,4900,2.374046451765166e-08
4910,2.466896398243497e-08,4910,4.784469722745388e-08
4920,1.885384792518105e-08,4920,3.182208798633072e-08
4930,2.3812864375340587e-08,4930,3.951977552324978e-08
4940,2.3447736138766974e-08,4940,5.664344234337351e-08
4950,1.8056254195736987e-08,4950,3.709827049406429e-08
4960,3.210988679817972e-08,4960,7.374190062034527e-08
4970,1.79284503141951e-08,4970,2.9454147560016783e-08
4980,1.0786192955318584e-08,4980,2.7746021798124768e-08
4990,2.4741772933070866e-08,4990,8.135239774128567e-08
5000,0.0,5000,0.0
