sync_x,sync_allan_var,async_x,async_allan_var,sync_kalman_x,sync_kalman_allan_var,async_kalman_x,async_kalman_allan_var,sync_wavelet_x,sync_wavelet_allan_var,async_wavelet_x,async_wavelet_allan_var,sync_average_x,sync_average_allan_var,async_average_x,async_average_allan_var
190,2.0805232208691486e-08,190,2.8961760768453553e-08,190,1.7455489604752742e-08,190,2.5312931695528804e-08,190,1.1512660823482603e-08,190,1.7595738470575222e-08,190,1.6092889621849577e-08,190,2.32745158407108e-08
200,1.691490348778542e-08,200,2.6913728224063486e-08,200,1.462467331541427e-08,200,2.5226925728006915e-08,200,9.780566333916219e-09,200,1.8210899847447485e-08,200,1.3023121554373145e-08,200,2.218485631747449e-08
210,2.590650243193094e-08,210,4.538188369975039e-08,210,2.336387512802551e-08,210,4.486853043616176e-08,210,1.5753075362254097e-08,210,3.254144903573057e-08,210,2.0584893719164107e-08,210,3.860934844613736e-08
220,1.9912579242022442e-08,220,2.909860538306992e-08,220,1.608209036857786e-08,220,2.416222619461499e-08,220,1.0681941920117088e-08,220,1.639094442314137e-08,220,1.4934730272997694e-08,220,2.257892462277875e-08
230,3.2069647611457016e-08,230,5.911295528538468e-08,230,3.0344108672278494e-08,230,6.11039268119084e-08,230,2.1691329690614924e-08,230,4.631233122420551e-08,230,2.6216412644967577e-08,230,5.16772432041546e-08
240,1.9290243114246038e-08,240,2.8790911086018473e-08,240,1.468134428109886e-08,240,2.2837912728762763e-08,240,9.286938111689555e-09,240,1.5086567780316495e-08,240,1.373759459025829e-08,240,2.155624069182523e-08
250,3.0695788858153104e-08,250,4.9804572181310404e-08,250,2.6499734561468922e-08,250,4.572268941690499e-08,250,1.8430029988715076e-08,250,3.2783947902610244e-08,250,2.3877196714949937e-08,250,4.067672953032436e-08
260,2.466794829043278e-08,260,4.149025593259637e-08,260,2.091272966824474e-08,260,3.808727041482986e-08,260,1.4527597147785273e-08,260,2.7975825197454655e-08,260,1.879838696896805e-08,260,3.386431800124846e-08
270,2.0847668087507264e-08,270,2.9621771102789584e-08,270,1.5761329404245194e-08,270,2.35522605765552e-08,270,9.662071063103718e-09,270,1.5835422874926376e-08,270,1.462163182291059e-08,270,2.2099732877426792e-08
280,3.104170086708392e-08,280,6.012512268926673e-08,280,2.8600550661186363e-08,280,6.079406732433435e-08,280,2.0516948372761532e-08,280,4.630242003188956e-08,280,2.4661886512795526e-08,280,5.165374092649094e-08
290,2.201589996510942e-08,290,3.061521097189173e-08,290,1.703315636556026e-08,290,2.4892565430558547e-08,290,1.1313175294062967e-08,290,1.7798679946951518e-08,290,1.5704657906149233e-08,290,2.3275499083146943e-08
300,2.7404226639480055e-08,300,4.976663055476232e-08,300,2.4703132522944707e-08,300,4.971562911386323e-08,300,1.7365742320825417e-08,300,3.7800066492192604e-08,300,2.1240317964398093e-08,300,4.2344386491038766e-08
310,2.2853899718961792e-08,310,3.6352487692330684e-08,310,1.765291045049387e-08,310,3.1038594411489744e-08,310,1.1057155618610342e-08,310,2.1542462529026842e-08,310,1.600598322604288e-08,310,2.8099547097597646e-08
320,2.3420999682934625e-08,320,3.516985891683751e-08,320,1.842687133606404e-08,320,2.9704577159992266e-08,320,1.2384994013159206e-08,320,2.1352148412112703e-08,320,1.6758225635536694e-08,320,2.722032552481398e-08
330,3.193734555705907e-08,330,5.743575978852998e-08,330,2.808504951060947e-08,330,5.6285010266737095e-08,330,1.9882759491053262e-08,330,4.287683615366875e-08,330,2.4476097063544052e-08,330,4.837089598687216e-08
340,2.2208408960371915e-08,340,3.359307881275063e-08,340,1.5949174845829004e-08,340,2.6010593532165664e-08,340,9.959115868100252e-09,340,1.7643364327358446e-08,340,1.4847504344422399e-08,340,2.4589086895256284e-08
350,3.637218647247543e-08,350,6.465824247583397e-08,350,3.2057588120092526e-08,350,6.258359506068632e-08,350,2.3017605729037374e-08,350,4.709637257938036e-08,350,2.806185979028807e-08,350,5.403736591462989e-08
360,2.3909920296640197e-08,360,3.4926387285852244e-08,360,1.7927000918363212e-08,360,2.801529467395975e-08,360,1.1906245960036954e-08,360,1.9862451005421207e-08,360,1.6491909626299222e-08,360,2.6099591589886345e-08
370,2.6226602422339087e-08,370,4.133419495678947e-08,370,2.043778493000919e-08,370,3.55099628452689e-08,370,1.3161585155227194e-08,370,2.5065193080207613e-08,370,1.8320776888130328e-08,370,3.1869891771392186e-08
380,2.8052595218181165e-08,380,5.0677824072858534e-08,380,2.3164156592951632e-08,380,4.711971973601555e-08,380,1.5674907708368446e-08,380,3.476159719285628e-08,380,2.0266854320325135e-08,380,4.090597878574202e-08
390,2.3573583806528175e-08,390,3.305029394313863e-08,390,1.7477434517185504e-08,390,2.6202153787123896e-08,390,1.1447282897088614e-08,390,1.8552008004412746e-08,390,1.5942507489520915e-08,390,2.4336444808750922e-08
400,3.237513862296371e-08,400,6.165758044162947e-08,400,2.8952005547048935e-08,400,6.179483630435596e-08,400,2.0501942985913884e-08,400,4.721986125036642e-08,400,2.4614775025772182e-08,400,5.213161192920073e-08
