sync_x,sync_allan_var,async_x,async_allan_var,sync_kalman_x,sync_kalman_allan_var,async_kalman_x,async_kalman_allan_var,sync_wavelet_x,sync_wavelet_allan_var,async_wavelet_x,async_wavelet_allan_var,sync_average_x,sync_average_allan_var,async_average_x,async_average_allan_var
1240,1.9608596587877947e-08,1240,2.8570856610662122e-08,1240,1.5808287509464083e-08,1240,2.4060773688130377e-08,1240,1.0307243246096688e-08,1240,1.650139595538406e-08,1240,1.4740268946446049e-08,1240,2.2453348065022244e-08
1250,2.995812864838543e-08,1250,5.530362362034448e-08,1250,2.8155869927553814e-08,1250,5.61814346938423e-08,1250,2.0132954938482983e-08,1250,4.191961156920018e-08,1250,2.4499262920540333e-08,1250,4.7770137998377735e-08
1260,1.9563595711611843e-08,1260,2.7790867301321288e-08,1260,1.5422339866782073e-08,1260,2.2495485775014847e-08,1260,9.839020681864354e-09,1260,1.4466033900971629e-08,1260,1.441179447453694e-08,1260,2.1156350620760685e-08
1270,2.9030010934641687e-08,1270,4.936039987270536e-08,1270,2.6756672783655924e-08,1270,4.873069391412494e-08,1270,1.9170223674849966e-08,1270,3.6402820543286046e-08,1270,2.3394810039676563e-08,1270,4.195591284016766e-08
1280,1.860443346656241e-08,1280,3.0236446108166415e-08,1280,1.4682608526915283e-08,1280,2.6017026940284765e-08,1280,9.06481421091716e-09,1280,1.7476489183662373e-08,1280,1.3324407078824801e-08,1280,2.3294124431069562e-08
1290,2.0355948230078362e-08,1290,2.8937217584059045e-08,1290,1.6032279366584607e-08,1290,2.3597746710161918e-08,1290,9.731647344257697e-09,1290,1.4666297429025737e-08,1290,1.45739158830946e-08,1290,2.1545398664185265e-08
1300,2.812030244550278e-08,1300,5.174235312911232e-08,1300,2.5597120441424884e-08,1300,5.189531461590204e-08,1300,1.8267368169772768e-08,1300,3.919928404609173e-08,1300,2.229058824024269e-08,1300,4.413680675997688e-08
1310,1.8124527736532308e-08,1310,2.4174128745007653e-08,1310,1.3424447166978853e-08,1310,1.8660070152363677e-08,1310,8.14871571587246e-09,1310,1.2422302368909769e-08,1310,1.2391570158479808e-08,1310,1.7342425799934045e-08
1320,2.9279431564929536e-08,1320,5.20039940349527e-08,1320,2.6792780667487324e-08,1320,5.1676127189529845e-08,1320,1.8710719079448922e-08,1320,3.7856973212376936e-08,1320,2.2987303696563394e-08,1320,4.366775796943961e-08
1330,2.0678028388002874e-08,1330,2.8190237674697992e-08,1330,1.5858356811039748e-08,1330,2.291822289599405e-08,1330,1.0035383316492686e-08,1330,1.5013257159707062e-08,1330,1.4604410406583757e-08,1330,2.1007691962425774e-08
1340,2.4215464510303884e-08,1340,3.505542271178942e-08,1340,2.0000607299687333e-08,1340,3.097081530459404e-08,1340,1.3499975183619187e-08,1340,2.182532119598446e-08,1340,1.7924923497793337e-08,1340,2.7490314947085717e-08
1350,2.6471010484750602e-08,1350,4.4434774385108103e-08,1350,2.2251329835845648e-08,1350,4.137935134090233e-08,1350,1.4891479174399547e-08,1350,2.9324837762980207e-08,1350,1.9704343983405813e-08,1350,3.580637137330779e-08
1360,2.0987768795101802e-08,1360,2.919689703665565e-08,1360,1.545517073855646e-08,1360,2.244406176495863e-08,1360,9.611291951539433e-09,1360,1.3933463916580523e-08,1360,1.4294290278645944e-08,1360,2.0845816258747053e-08
1370,3.343715947200773e-08,1370,5.941180928271875e-08,1370,3.0488898125473e-08,1370,5.957323032211039e-08,1370,2.206243912608176e-08,1370,4.493233026128071e-08,1370,2.6270242907028305e-08,1370,5.0276947841865617e-08
1380,1.8525113213792494e-08,1380,2.6047352290274692e-08,1380,1.2906910034539738e-08,1380,1.9259191326483984e-08,1380,7.460371950269018e-09,1380,1.1687012869354111e-08,1380,1.1802242071202875e-08,1380,1.7749425231185403e-08
1390,2.663729358897199e-08,1390,4.161725514938559e-08,1390,2.207679203073652e-08,1390,3.7586184071746254e-08,1390,1.4430408749918033e-08,1390,2.5666060991090682e-08,1390,1.9232017491696986e-08,1390,3.244815018502194e-08
1400,2.371992223201941e-08,1400,3.8267690695090764e-08,1400,1.8679026220662435e-08,1400,3.4028195917794395e-08,1400,1.2345001597234824e-08,1400,2.4182341661059767e-08,1400,1.6578945890934077e-08,1400,2.9623245377234675e-08
1410,2.1037264380549162e-08,1410,2.7367372041054104e-08,1410,1.499778775214391e-08,1410,2.0398676068453853e-08,1410,9.01352986819633e-09,1410,1.311590181710359e-08,1410,1.3599332096202761e-08,1410,1.867544227565436e-08
1420,3.060473846966448e-08,1420,5.5335322961379645e-08,1420,2.6692359053312224e-08,1420,5.402249007932805e-08,1420,1.8315264997668493e-08,1420,3.9413085482954854e-08,1420,2.2773542026383378e-08,1420,4.538807670586258e-08
1430,2.1873036950481255e-08,1430,2.847104374643652e-08,1430,1.553492525344367e-08,1430,2.118153096094726e-08,1430,9.501480857808547e-09,1430,1.3323239637352356e-08,1430,1.4157182063941868e-08,1430,1.947026091355766e-08
1440,3.2527790690457105e-08,1440,5.118292159258325e-08,1440,2.835535334925119e-08,1440,4.928220106927155e-08,1440,2.0083298666190243e-08,1440,3.673564304448556e-08,1440,2.446869431246715e-08,1440,4.181270645030058e-08
1450,2.372502117307812e-08,1450,3.333478822282744e-08,1450,1.7130003041397845e-08,1450,2.604712261053757e-08,1450,1.05385304920908e-08,1450,1.675037167089195e-08,1450,1.5540087289324055e-08,1450,2.3561085372887305e-08
1460,2.3985644335166735e-08,1460,3.3266798848335477e-08,1460,1.7520919619116388e-08,1460,2.6094253711420004e-08,1460,1.1064463072592617e-08,1460,1.6827945055668298e-08,1460,1.575137082290179e-08,1460,2.348976488546398e-08
1470,3.228426448699025e-08,1470,5.49977860431239e-08,1470,2.7378299546921486e-08,1470,5.259697895632831e-08,1470,1.9080791150650663e-08,1470,3.8955659877904375e-08,1470,2.3686003631070018e-08,1470,4.460071589209894e-08
1480,2.143248271696045e-08,1480,2.906846700561465e-08,1480,1.4327605686779077e-08,1480,2.05797188730181e-08,1480,8.07020283175029e-09,1480,1.2167343168574145e-08,1480,1.298333430426727e-08,1480,1.8934330855016066e-08
1490,3.259616931683884e-08,1490,5.5702336751736367e-08,1490,2.7902760477194594e-08,1490,5.34200190097686e-08,1490,1.891020324294955e-08,1490,3.8281457773578495e-08,1490,2.3717553444882976e-08,1490,4.4862852823402503e-08
1500,2.3129257986212717e-08,1500,3.278842997577281e-08,1500,1.6416956884252405e-08,1500,2.534786079285602e-08,1500,9.94209699833263e-09,1500,1.6314059095000977e-08,1500,1.4704600456274836e-08,1500,2.2771523939971805e-08
1510,2.6553466253515528e-08,1510,3.674660569367576e-08,1510,2.052825539127091e-08,1510,3.083111634157269e-08,1510,1.312500685933006e-08,1510,2.1172013058464404e-08,1510,1.7913922582303095e-08,1510,2.687077896554583e-08
1520,2.611695810934647e-08,1520,4.4245142096508256e-08,1520,2.0100161877800697e-08,1520,3.9248162177974375e-08,1520,1.2811380252742578e-08,1520,2.7253279236454762e-08,1520,1.7489528219617612e-08,1520,3.370543521088825e-08
1530,2.2725690569861736e-08,1530,2.9650692384614665e-08,1530,1.5618748445932775e-08,1530,2.1734233010122166e-08,1530,9.514329583141215e-09,1530,1.3749173095591616e-08,1530,1.4149598054622255e-08,1530,1.9856664349838573e-08
1540,3.6351811571505196e-08,1540,6.213829540649606e-08,1540,3.2163237484872464e-08,1540,6.154136578488877e-08,1540,2.3213199812654135e-08,1540,4.68111364852004e-08,1540,2.753452828442913e-08,1540,5.169271065766854e-08
1550,2.2888985520926506e-08,1550,3.0167668514777606e-08,1550,1.560917792604354e-08,1550,2.1535044207371703e-08,1550,9.46266335706032e-09,1550,1.3426357308745498e-08,1550,1.4289065510364357e-08,1550,2.0045425101091968e-08
1560,2.913576177736195e-08,1560,4.536497843197269e-08,1560,2.354482593939873e-08,1560,4.0529000276533565e-08,1560,1.6023316143463044e-08,1560,2.8775482376709006e-08,1560,2.049276190353427e-08,1560,3.499525541602704e-08
1570,2.6967804712653844e-08,1570,4.2278334366949784e-08,1570,2.0739420553518402e-08,1570,3.634022237321253e-08,1570,1.3819139042923003e-08,1570,2.5801541298678383e-08,1570,1.8418936986352063e-08,1570,3.1983442605834874e-08
1580,2.223520320078691e-08,1580,3.041106944360671e-08,1580,1.5379363067655468e-08,1580,2.249905450405047e-08,1580,9.088594324483846e-09,1580,1.4177797958801672e-08,1580,1.3891932227502544e-08,1580,2.061222957242511e-08
1590,3.084929666142709e-08,1590,5.5749781660436836e-08,1590,2.618234947637058e-08,1590,5.364803715505384e-08,1590,1.7905327317061107e-08,1590,3.9224151012484464e-08,1590,2.2370734895174876e-08,1590,4.521148749630564e-08
1600,2.2260759074713748e-08,1600,3.08677896651386e-08,1600,1.5837724829073474e-08,1600,2.3714702194550913e-08,1600,9.679949847273928e-09,1600,1.5479330311846775e-08,1600,1.4297270378300919e-08,1600,2.158042271374285e-08
1610,3.210288452784793e-08,1610,5.278963246610106e-08,1610,2.7870610446995178e-08,1610,5.04904612983503e-08,1610,1.9356248416446397e-08,1610,3.748810578667039e-08,1610,2.390106730680391e-08,1610,4.2936727226615286e-08
1620,2.1063875968756842e-08,1620,3.196610858064867e-08,1620,1.4775254674954516e-08,1620,2.502750132284251e-08,1620,8.708082033195839e-09,1620,1.6320263525036977e-08,1620,1.341019038302276e-08,1620,2.2737199145016965e-08
1630,2.3713373421094593e-08,1630,3.385167263156422e-08,1630,1.8050197072022837e-08,1630,2.7743863097558865e-08,1630,1.177662973556475e-08,1630,1.907272531375288e-08,1630,1.6196270297287665e-08,1630,2.5045022142213683e-08
1640,3.211397668524311e-08,1640,5.718574841995174e-08,1640,2.8040201281214647e-08,1640,5.559994161852698e-08,1640,1.9999674212541394e-08,1640,4.214891228917011e-08,1640,2.4519896701936197e-08,1640,4.7724931204181805e-08
1650,2.1860970645963436e-08,1650,3.0457806456551174e-08,1650,1.5909278180156033e-08,1650,2.3555845542897604e-08,1650,1.0132267383150043e-08,1650,1.598304632236434e-08,1650,1.4729092740415339e-08,1650,2.208319181888801e-08
1660,3.306874374664046e-08,1660,5.989960668919553e-08,1660,3.00296235648806e-08,1660,5.926801756113294e-08,1660,2.165147002073857e-08,1660,4.466539917451711e-08,1660,2.5861517399706184e-08,1660,5.0565024706834473e-08
1670,2.3002145214989915e-08,1670,3.411644742182358e-08,1670,1.771359083268012e-08,1670,2.7986963862608238e-08,1670,1.1600307469223387e-08,1670,1.9424389662207004e-08,1670,1.6236999550400876e-08,1670,2.5900472763083825e-08
1680,2.555012744065997e-08,1680,4.0474195833764634e-08,1680,2.1293834001500236e-08,1680,3.607312160963739e-08,1680,1.4463492294744263e-08,1680,2.6086017891612663e-08,1680,1.8878451611959143e-08,1680,3.2128030337705575e-08
1690,2.4053650388996585e-08,1690,4.335110312478827e-08,1690,1.9804772130567794e-08,1690,3.99810770473454e-08,1690,1.3118056406649239e-08,1690,2.9353425821864774e-08,1690,1.7597705619481277e-08,1690,3.5102579932943775e-08
1700,2.041545766085245e-08,1700,3.048703238487539e-08,1700,1.5678509986570935e-08,1700,2.485691017608419e-08,1700,9.99223196743802e-09,1700,1.721652876529866e-08,1700,1.4428051116555793e-08,1700,2.3178465389780055e-08
1710,3.3061391015034646e-08,1710,6.260962251161476e-08,1710,3.0938653099264905e-08,1710,6.356567702852956e-08,1710,2.242133288947654e-08,1710,4.8860508813606094e-08,1710,2.675185973408244e-08,1710,5.425222461264145e-08
1720,1.886695573856221e-08,1720,2.873795837182249e-08,1720,1.4217060414632513e-08,1720,2.3056405594182675e-08,1720,8.769260923962222e-09,1720,1.5908079558862258e-08,1720,1.3238612102783315e-08,1720,2.1804715248783047e-08
1730,2.7333282755316714e-08,1730,4.670582761499095e-08,1730,2.469882960395693e-08,1730,4.515611162069111e-08,1730,1.7551562236614306e-08,1730,3.40192153667968e-08,1730,2.1695550390988582e-08,1730,3.9514205238098045e-08
1740,2.4754968185690416e-08,1740,4.325882429781399e-08,1740,2.107745518686546e-08,1740,4.010505979140792e-08,1740,1.4822577507913203e-08,1740,3.0264890631895345e-08,1740,1.9320307031374404e-08,1740,3.628394465564474e-08
1750,2.1512247648734458e-08,1750,3.3313612791269974e-08,1750,1.7612401234833434e-08,1750,2.855012170650315e-08,1750,1.1961680168455302e-08,1750,2.075561948697902e-08,1750,1.6345323317740328e-08,1750,2.681409685884516e-08
1760,2.9590013839653748e-08,1760,5.9207458018339516e-08,1760,2.769390549300123e-08,1760,6.002111627014889e-08,1760,2.0110401634291962e-08,1760,4.618684550157529e-08,1760,2.429529009688014e-08,1760,5.187838205414589e-08
1770,2.092147925567068e-08,1770,3.219634726295808e-08,1770,1.6989806160217933e-08,1770,2.7073974595135543e-08,1770,1.1441445605820434e-08,1770,1.942460574392065e-08,1770,1.5936445199456196e-08,1770,2.5788279729344018e-08
1780,3.015904602567279e-08,1780,5.6249981027677795e-08,1780,2.8665288190287396e-08,1780,5.669940774716269e-08,1780,2.086242645225424e-08,1780,4.3635062387611574e-08,1780,2.5045074054353536e-08,1780,4.917871824233636e-08
1790,1.8482060655452553e-08,1790,3.1019985902782506e-08,1790,1.4793463272019937e-08,1790,2.643424902852497e-08,1790,9.402959180264313e-09,1790,1.898719830070079e-08,1790,1.3779062524044493e-08,1790,2.4738667746715782e-08
1800,2.1404512124883307e-08,1800,3.46309269974025e-08,1800,1.8434332219036812e-08,1800,3.093533153744777e-08,1800,1.2435207663092487e-08,1800,2.2523394620476855e-08,1800,1.6810675337376763e-08,1800,2.8509163388439446e-08
1810,2.73945475768411e-08,1810,5.3892207646298997e-08,1810,2.5490834312936858e-08,1810,5.402824007571521e-08,1810,1.8495092971616877e-08,1810,4.1800873140394904e-08,1810,2.2642745063147647e-08,1810,4.7196345188467956e-08
1820,1.7476483283195082e-08,1820,2.8208402050598518e-08,1820,1.405999866045756e-08,1820,2.364814900917058e-08,1820,8.941035454453659e-09,1820,1.667701408998919e-08,1820,1.3180674780559338e-08,1820,2.2462416670494674e-08
1830,2.998753174206779e-08,1830,5.759974810088736e-08,1830,2.9300667877771328e-08,1830,5.999263420668724e-08,1830,2.1456629482106648e-08,1830,4.638582596343967e-08,1830,2.540166489387311e-08,1830,5.132723741294379e-08
1840,2.1083177384031038e-08,1840,3.356777832103742e-08,1840,1.7832396800311822e-08,1840,2.9532772403112956e-08,1840,1.2460259075765663e-08,1840,2.1848467671260285e-08,1840,1.6768574505713493e-08,1840,2.7882686648932675e-08
1850,2.5239769741658613e-08,1850,4.122551906733772e-08,1850,2.3336586495539198e-08,1850,3.9598784190411193e-08,1850,1.6885252291660065e-08,1850,3.0076785510639145e-08,1850,2.0942633720123086e-08,1850,3.5546526662286355e-08
1860,2.3003172278444826e-08,1860,4.381522640765635e-08,1860,2.053367595597809e-08,1860,4.2223165017202395e-08,1860,1.4315247926758997e-08,1860,3.16582297444532e-08,1860,1.8633579589709428e-08,1860,3.7653472953391306e-08
1870,1.928398451962928e-08,1870,2.9442257363485755e-08,1870,1.6130384958542985e-08,1870,2.4995079053652928e-08,1870,1.0820148247608145e-08,1870,1.7756926904339995e-08,1870,1.511429974083476e-08,1870,2.38719019317039e-08
1880,3.0414753089301554e-08,1880,6.088182253796817e-08,1880,2.9635368520204906e-08,1880,6.302879696596612e-08,1880,2.1821665117661338e-08,1880,4.8799217453824e-08,1880,2.5817894446361633e-08,1880,5.406400387603737e-08
1890,1.709270585494229e-08,1890,2.6924213615670108e-08,1890,1.3732006178621754e-08,1890,2.218104969736278e-08,1890,8.331867292783516e-09,1890,1.4797253131020737e-08,1890,1.2877922480331574e-08,1890,2.1074365584570955e-08
1900,2.5383918789008733e-08,1900,4.4346076160622014e-08,1900,2.3963293173262083e-08,1900,4.3883561766386934e-08,1900,1.6774952452272168e-08,1900,3.2538642164805635e-08,1900,2.1016314866749424e-08,1900,3.820235303516141e-08
1910,2.1220072877089475e-08,1910,3.631372191830133e-08,1910,1.8486335435496936e-08,1910,3.3572506868162125e-08,1910,1.2667345908649121e-08,1910,2.4724600601102473e-08,1910,1.6966199715461257e-08,1910,3.040034203257609e-08
1920,1.8098286711847918e-08,1920,2.8364927985841662e-08,1920,1.5206996483240397e-08,1920,2.4717400217677466e-08,1920,9.873091751040207e-09,1920,1.7300077106513458e-08,1920,1.4025820683814294e-08,1920,2.29415162020693e-08
1930,2.6954300817709564e-08,1930,5.2722141348358786e-08,1930,2.570416549424495e-08,1930,5.434137337823738e-08,1930,1.835291079675824e-08,1930,4.106335118152361e-08,1930,2.24902884496701e-08,1930,4.645327607880361e-08
1940,1.9990103154295517e-08,1940,2.8272889242888632e-08,1940,1.688800418794515e-08,1940,2.431022166544338e-08,1940,1.1621980724812264e-08,1940,1.721139561745555e-08,1940,1.5857638645194647e-08,1940,2.2974917161976184e-08
1950,2.9790241170329804e-08,1950,5.241306453828388e-08,1950,2.8979307109803928e-08,1950,5.3548826173128124e-08,1950,2.1490458041854697e-08,1950,4.1228189357410834e-08,1950,2.5371378719222218e-08,1950,4.619427746489719e-08
1960,1.862062007393991e-08,1960,2.994583867969912e-08,1960,1.546877040072945e-08,1960,2.6144191584072238e-08,1960,1.0030867204331576e-08,1960,1.7913474776255425e-08,1960,1.4466895119348773e-08,1960,2.427837828898164e-08
1970,2.097703396054213e-08,1970,3.050906553601625e-08,1970,1.8411299163440643e-08,1970,2.7007417570038078e-08,1970,1.2552907695764788e-08,1970,1.8792233134706854e-08,1970,1.671679796919488e-08,1970,2.477955747363909e-08
1980,2.550189430492451e-08,1980,4.8684126082821824e-08,1980,2.3534615541150006e-08,1980,4.840624409694076e-08,1980,1.6626208409473666e-08,1980,3.634077491216109e-08,1980,2.094167132456756e-08,1980,4.2054065598664555e-08
1990,1.6375815666134706e-08,1990,2.497911644433655e-08,1990,1.3155586245581315e-08,1990,2.063989696653189e-08,1990,7.956062006387213e-09,1990,1.3333210537038481e-08,1990,1.2232491013157573e-08,1990,1.9360254236925214e-08
2000,2.9186184863755283e-08,2000,5.537553975651233e-08,2000,2.8335841061440936e-08,2000,5.693395493860948e-08,2000,2.0140502104708365e-08,2000,4.2405779577577475e-08,2000,2.4403928129960617e-08,2000,4.824032588097378e-08
2010,1.867111307675912e-08,2010,2.6493326961529788e-08,2010,1.546272713277271e-08,2010,2.253179234837252e-08,2010,9.9966564309103e-09,2010,1.531102795607999e-08,2010,1.4352497684216962e-08,2010,2.090472939373337e-08
2020,2.3079565438585315e-08,2020,3.7203215146739986e-08,2020,2.076641407977076e-08,2020,3.4853421896520774e-08,2020,1.4163001608096007e-08,2020,2.4966486735251316e-08,2020,1.847994734912711e-08,2020,3.085829915834688e-08
2030,2.123238210725445e-08,2030,3.7906590416277404e-08,2030,1.8688156679919198e-08,2030,3.6697838031238446e-08,2030,1.2565356333084258e-08,2030,2.644285938116303e-08,2030,1.6764374781925052e-08,2030,3.205967844811066e-08
2040,2.0044464312164645e-08,2040,2.6353945157418203e-08,2040,1.668878679021122e-08,2040,2.2097858086043848e-08,2040,1.1216800240892524e-08,2040,1.4947717874540083e-08,2040,1.5560475709366655e-08,2040,2.0743740764695204e-08
2050,3.008672611400652e-08,2050,5.5804841976065435e-08,2050,2.893583494897529e-08,2050,5.7545223152452204e-08,2050,2.147582916356867e-08,2050,4.4417296139321205e-08,2050,2.5260196015316724e-08,2050,4.9047865853317624e-08
2060,1.7941432612952534e-08,2060,2.6558206327720146e-08,2060,1.4166796661484072e-08,2060,2.2038842869288436e-08,2060,8.831275009240684e-09,2060,1.4359896406073535e-08,2060,1.3365007198999778e-08,2060,2.0743822387180107e-08
2070,2.7093104279877387e-08,2070,4.405704614666045e-08,2070,2.5205249581336023e-08,2070,4.2601792679603e-08,2070,1.7747317338990925e-08,2070,3.062302773989962e-08,2070,2.20480198722655e-08,2070,3.6986369977542645e-08
2080,2.0535116412129587e-08,2080,3.332771738869916e-08,2080,1.7218490333015354e-08,2080,2.999390945601465e-08,2080,1.1456323329485534e-08,2080,2.125841531570673e-08,2080,1.5809567643182592e-08,2080,2.707175579998188e-08
2090,1.808356575126343e-08,2090,2.7155870297985152e-08,2090,1.4440021787294513e-08,2090,2.2094694797120067e-08,2090,8.816052845512127e-09,2090,1.4072193022323668e-08,2090,1.3274484859265708e-08,2090,2.057733051159069e-08
2100,2.722893837475606e-08,2100,5.3066035874725685e-08,2100,2.5356621013889724e-08,2100,5.3862852587832736e-08,2100,1.752863130787939e-08,2100,3.9810932754876044e-08,2100,2.2004698091934915e-08,2100,4.574210699257565e-08
2110,1.8364230171458787e-08,2110,2.5174869729393412e-08,2110,1.4670703376790933e-08,2110,2.044721461785223e-08,2110,9.277029035199017e-09,2110,1.366146862286115e-08,2110,1.3610586783447816e-08,2110,1.91318010278644e-08
2120,2.8839039319443438e-08,2120,5.108913540839965e-08,2120,2.700202476061739e-08,2120,5.107213646001821e-08,2120,1.916875854867641e-08,2120,3.819028744691942e-08,2120,2.3455397909825764e-08,2120,4.3698996930587253e-08
2130,1.8150995471724222e-08,2130,2.772047971366704e-08,2130,1.435370615184727e-08,2130,2.3783570111066906e-08,2130,9.087608317083726e-09,2130,1.61261101460918e-08,2130,1.3248556519899364e-08,2130,2.1736474154438193e-08
2140,2.3672565029059576e-08,2140,3.327741702577295e-08,2140,2.0154439098128308e-08,2140,2.9013414453731515e-08,2140,1.3556585391884245e-08,2140,1.998358211722634e-08,2140,1.8268161259783774e-08,2140,2.6347763927079453e-08
2150,2.5460862884376097e-08,2150,4.525509721563975e-08,2150,2.293741105245339e-08,2150,4.472682601594124e-08,2150,1.6592402092994195e-08,2150,3.4092595804619076e-08,2150,2.0435465893800915e-08,2150,3.8769813701427665e-08
2160,1.9252773148967162e-08,2160,2.8287122786998054e-08,2160,1.4880492188249997e-08,2160,2.2741104715144645e-08,2160,9.288375604578594e-09,2160,1.4629127449559414e-08,2160,1.395393108616629e-08,2160,2.1451907241895304e-08
2170,3.096649845840759e-08,2170,5.64593482400457e-08,2170,2.9381398699447218e-08,2170,5.7579213475474786e-08,2170,2.0937609595587326e-08,2170,4.2708472290980156e-08,2170,2.5324415708983993e-08,2170,4.883572002189774e-08
2180,2.0268253872218282e-08,2180,2.8878718477646408e-08,2180,1.598167116005427e-08,2180,2.3536609323072096e-08,2180,1.0056886116789833e-08,2180,1.5519579728626676e-08,2180,1.4891926757844075e-08,2180,2.2020307926725053e-08
2190,2.4085978170771872e-08,2190,3.810343959354722e-08,2190,2.1134692362070535e-08,2190,3.498205634058433e-08,2190,1.4179517928566681e-08,2190,2.4467489053673027e-08,2190,1.8561397270372252e-08,2190,3.073907874008402e-08
2200,2.2414167350299583e-08,2200,3.9797991275783694e-08,2200,1.8859505132130846e-08,2200,3.7224354319836375e-08,2200,1.2172518914965939e-08,2200,2.62846889785284e-08,2200,1.6863225751980755e-08,2200,3.257415994902601e-08
2210,1.9579965485351443e-08,2210,2.6798329359349726e-08,2210,1.552249658309094e-08,2210,2.1434066450780154e-08,2210,9.837789676611888e-09,2210,1.4285928013428491e-08,2210,1.4223966732286401e-08,2210,1.995039350044299e-08
2220,3.004255480973625e-08,2220,5.625698461820772e-08,2220,2.7870389817479116e-08,2220,5.709277162385635e-08,2220,1.9791083152411262e-08,2220,4.309566067603028e-08,2220,2.4185416167718368e-08,2220,4.850922063628706e-08
2230,1.8345634321811104e-08,2230,2.6916404699092877e-08,2230,1.3886559010465721e-08,2230,2.144149846895197e-08,2230,8.644205284938924e-09,2230,1.4060868256155423e-08,2230,1.288272255156416e-08,2230,2.0057223201031356e-08
2240,2.9555242813606026e-08,2240,4.711348169306884e-08,2240,2.688837179419646e-08,2240,4.572729026174016e-08,2240,1.8886150055807797e-08,2240,3.3619910873167617e-08,2240,2.3522924557635972e-08,2240,3.948472329779146e-08
2250,2.2118232960737695e-08,2250,3.353736332033892e-08,2250,1.8030882115969775e-08,2250,2.9253180673391546e-08,2250,1.2368870528366993e-08,2250,2.1229834631485243e-08,2250,1.661550171295112e-08,2250,2.668461313045042e-08
2260,2.169333151298159e-08,2260,3.1929410102447886e-08,2260,1.6981253904990223e-08,2260,2.6189945986248368e-08,2260,1.0661516403327534e-08,2260,1.718125846079056e-08,2260,1.568289881738202e-08,2260,2.4363351387864348e-08
2270,2.7753946889109985e-08,2270,5.223954103205968e-08,2270,2.505907253571429e-08,2270,5.209324045618388e-08,2270,1.734344975987782e-08,2270,3.8367866365554466e-08,2270,2.18407864804165e-08,2270,4.450947986351459e-08
2280,2.0727258514276587e-08,2280,2.9347684298125628e-08,2280,1.582931625803191e-08,2280,2.3305924116152486e-08,2280,9.803974228747987e-09,2280,1.5324073630126946e-08,2280,1.4732959272256679e-08,2280,2.188362438878143e-08
2290,2.9998057218312495e-08,2290,5.3553195545247035e-08,2290,2.7804535393067522e-08,2290,5.339717389906175e-08,2290,1.979478822910801e-08,2290,3.9817925836005987e-08,2290,2.3902803954203896e-08,2290,4.553371543501866e-08
2300,1.9176692860484778e-08,2300,3.046614059957504e-08,2300,1.4219057276127195e-08,2300,2.4678436198100325e-08,2300,8.164424315334373e-09,2300,1.5814014046213095e-08,2300,1.3146542883476836e-08,2300,2.2792518249977736e-08
2310,2.3262727548675948e-08,2310,3.365029669511052e-08,2310,1.947361489660332e-08,2310,2.9410399684247586e-08,2310,1.2936630414520833e-08,2310,2.0731756053881362e-08,2310,1.727438545812289e-08,2310,2.6297233459107907e-08
2320,2.639660620270639e-08,2320,4.880248653146711e-08,2320,2.2522159010981133e-08,2320,4.645043518578978e-08,2320,1.534619225740281e-08,2320,3.4455426640023564e-08,2320,2.0013786672354376e-08,2320,4.051324116922121e-08
2330,2.0090769239287916e-08,2330,2.985359808933636e-08,2330,1.5034342448432498e-08,2330,2.37401872665492e-08,2330,9.31796694956396e-09,2330,1.5733650629849343e-08,2330,1.3874094945660588e-08,2330,2.2231844240386455e-08
2340,3.266577092848089e-08,2340,5.8997723307510366e-08,2340,2.982978738517163e-08,2340,5.9033150537252966e-08,2340,2.119339278029452e-08,2340,4.461843373029477e-08,2340,2.5877545993565206e-08,2340,5.0334894800076524e-08
2350,2.3353096446992447e-08,2350,3.298582395986591e-08,2350,1.8405906561622002e-08,2350,2.715151217492581e-08,2350,1.26398555876691e-08,2350,2.0003585435700713e-08,2350,1.6985251895088303e-08,2350,2.5405077178792773e-08
2360,2.8304966071948825e-08,2360,4.545450474146799e-08,2360,2.4138375867425267e-08,2360,4.1662927417611596e-08,2360,1.655394597304875e-08,2360,3.035216067064643e-08,2360,2.1397821071372316e-08,2360,3.69926595822995e-08
2370,2.378148055100226e-08,2370,4.1052088461649114e-08,2370,1.8930862758996795e-08,2370,3.668077135524532e-08,2370,1.2198703604879314e-08,2370,2.6254594789788342e-08,2370,1.7051887590711787e-08,2370,3.275300799100682e-08
2380,2.286570932182173e-08,2380,3.2829741085154906e-08,2380,1.729922973435353e-08,2380,2.6302972449580996e-08,2380,1.0977163558496385e-08,2380,1.8151620911863007e-08,2380,1.590627073848373e-08,2380,2.460349797981606e-08
2390,3.1426302029506925e-08,2390,6.163374622678747e-08,2390,2.81863556158465e-08,2390,6.094738003427213e-08,2390,2.0155004466959876e-08,2390,4.645174947898362e-08,2390,2.4308799026486613e-08,2390,5.228119245129227e-08
2400,2.0772716884313738e-08,2400,3.295228388828438e-08,2400,1.4657929004164403e-08,2400,2.572219947075363e-08,2400,8.451000152004176e-09,2400,1.6941810119834442e-08,2400,1.3579017813752158e-08,2400,2.4172905882989906e-08
2410,3.0258110226551284e-08,2410,5.1290794047223364e-08,2410,2.6697770958341373e-08,2410,4.9035430296110205e-08,2410,1.871133673570204e-08,2410,3.6642294430871816e-08,2410,2.3038128521633182e-08,2410,4.239341790948906e-08
