t,S
0.00855,-0.0024770285587126482
0.0086,0.0001545220689091551
0.00865,0.0008471428357830716
0.008700000000000001,0.0003743823037082074
0.00875,0.004879041244832946
0.0088,0.005978552165824323
0.00885,0.006266306572938729
0.0089,0.006666756438739638
0.00895,0.007497866749293251
0.009000000000000001,0.008379150588288357
0.00905,0.006696571680775018
0.0091,0.007559590246223234
0.00915,0.005935737813049728
0.0092,0.009345477362020087
0.009250000000000001,0.007664991177410929
0.009300000000000001,0.010422033454793063
0.00935,0.012101935243296663
0.0094,0.013445788756517349
0.00945,0.014049247376854434
0.0095,0.015571214807023788
0.009550000000000001,0.015433644115410622
0.009600000000000001,0.019237146669338772
0.00965,0.018774688099336384
0.0097,0.018047457780771704
0.00975,0.018538133686556907
0.0098,0.020602974826744447
